day,month,year,experiment,subject,sample_quantity,sample_feature,feature_of_numerical_match,feature_of_numerical_distractor,block_all,block_individual,trial_within_block,chosen_quantity,chosen_feature,correct
31,1,2019,number_only,1,4,"NA","NA","NA",1,1,1,4,"NA",1
31,1,2019,number_only,1,4,"NA","NA","NA",2,2,1,4,"NA",1
31,1,2019,number_only,1,4,"NA","NA","NA",2,2,2,4,"NA",1
31,1,2019,number_only,1,4,"NA","NA","NA",2,2,3,4,"NA",1
31,1,2019,number_only,1,4,"NA","NA","NA",2,2,4,4,"NA",1
31,1,2019,number_only,1,4,"NA","NA","NA",3,3,1,4,"NA",1
31,1,2019,number_only,1,4,"NA","NA","NA",4,4,1,4,"NA",1
31,1,2019,number_only,1,4,"NA","NA","NA",4,4,2,4,"NA",1
31,1,2019,number_only,1,4,"NA","NA","NA",4,4,3,4,"NA",1
31,1,2019,number_only,1,4,"NA","NA","NA",4,4,4,4,"NA",1
31,1,2019,number_only,1,4,"NA","NA","NA",4,4,5,4,"NA",1
31,1,2019,number_only,1,4,"NA","NA","NA",5,5,1,1,"NA",0
31,1,2019,number_only,1,4,"NA","NA","NA",5,5,2,1,"NA",0
31,1,2019,number_only,1,4,"NA","NA","NA",5,5,3,1,"NA",0
31,1,2019,number_only,1,4,"NA","NA","NA",5,5,4,4,"NA",1
31,1,2019,number_only,1,4,"NA","NA","NA",6,6,1,4,"NA",1
31,1,2019,number_only,1,4,"NA","NA","NA",7,7,1,1,"NA",0
31,1,2019,number_only,1,4,"NA","NA","NA",7,7,2,1,"NA",0
31,1,2019,number_only,1,4,"NA","NA","NA",7,7,3,4,"NA",1
31,1,2019,number_only,2,4,"NA","NA","NA",2,1,1,4,"NA",1
31,1,2019,number_only,2,4,"NA","NA","NA",2,1,2,1,"NA",0
31,1,2019,number_only,2,4,"NA","NA","NA",2,1,3,4,"NA",1
31,1,2019,number_only,2,4,"NA","NA","NA",2,1,4,4,"NA",1
31,1,2019,number_only,2,4,"NA","NA","NA",3,2,1,4,"NA",1
31,1,2019,number_only,2,4,"NA","NA","NA",4,3,1,4,"NA",1
31,1,2019,number_only,2,4,"NA","NA","NA",4,3,2,1,"NA",0
31,1,2019,number_only,2,4,"NA","NA","NA",4,3,3,4,"NA",1
31,1,2019,number_only,2,4,"NA","NA","NA",5,4,1,1,"NA",0
31,1,2019,number_only,2,4,"NA","NA","NA",5,4,2,1,"NA",0
31,1,2019,number_only,2,4,"NA","NA","NA",6,5,1,4,"NA",1
31,1,2019,number_only,2,4,"NA","NA","NA",6,5,2,1,"NA",0
31,1,2019,number_only,2,4,"NA","NA","NA",6,5,3,4,"NA",1
31,1,2019,number_only,2,4,"NA","NA","NA",7,6,1,4,"NA",1
31,1,2019,number_only,2,4,"NA","NA","NA",7,6,2,4,"NA",1
31,1,2019,number_only,2,4,"NA","NA","NA",7,6,3,4,"NA",1
31,1,2019,number_only,3,4,"NA","NA","NA",1,1,1,4,"NA",1
31,1,2019,number_only,3,4,"NA","NA","NA",1,1,2,1,"NA",0
31,1,2019,number_only,3,4,"NA","NA","NA",3,2,1,1,"NA",0
31,1,2019,number_only,3,4,"NA","NA","NA",4,3,1,4,"NA",1
31,1,2019,number_only,3,4,"NA","NA","NA",4,3,2,4,"NA",1
31,1,2019,number_only,3,4,"NA","NA","NA",4,3,3,1,"NA",0
31,1,2019,number_only,3,4,"NA","NA","NA",5,4,1,1,"NA",0
31,1,2019,number_only,3,4,"NA","NA","NA",5,4,2,4,"NA",1
31,1,2019,number_only,3,4,"NA","NA","NA",6,5,1,1,"NA",0
31,1,2019,number_only,3,4,"NA","NA","NA",6,5,2,1,"NA",0
31,1,2019,number_only,3,4,"NA","NA","NA",6,5,3,4,"NA",1
31,1,2019,number_only,4,4,"NA","NA","NA",1,1,1,4,"NA",1
31,1,2019,number_only,4,4,"NA","NA","NA",1,1,2,4,"NA",1
31,1,2019,number_only,4,4,"NA","NA","NA",6,2,1,4,"NA",1
31,1,2019,number_only,4,4,"NA","NA","NA",6,2,2,4,"NA",1
31,1,2019,number_only,5,4,"NA","NA","NA",1,1,1,4,"NA",1
31,1,2019,number_only,5,4,"NA","NA","NA",2,2,1,1,"NA",0
31,1,2019,number_only,5,4,"NA","NA","NA",2,2,2,1,"NA",0
31,1,2019,number_only,5,4,"NA","NA","NA",2,2,3,1,"NA",0
